Unit	Level	Source section	Printed pages	Modern adaptation
Clear Sounds and Learning Phrases	A1	How to Use the Records and Guide; Hints on Pronunciation; Special Points	6-10	Listening, repetition, clear rhythm, and learner repair phrases; English-style phonetic respelling removed.
Greetings, Introductions and Courtesy	A1	Greetings and General Phrases; Other Useful Phrases; Additional Expressions	11, 26-30	Civilian introductions, names, courtesy, and modern goodbye usage.
Numbers, Time and Days	A1	Numbers; Money; Time	15-17, 22-25	Modern number spelling, Malaysian schedules, and current days of the week.
Objects and Simple Questions	A1	What’s This?; Asking for Things; Fill-in Sentences	18-20, 31-45	Modern question forms, objects, availability, possession, and adjective sentences.
Food, Drink and Ordering	A2	Asking for Things; food and drink lists	19-21, 31-37	Restaurant and food-stall language, dietary needs, bills, and takeaway.
Shopping, Prices and Money	A2	Buying Things; Money; shopping lists	21-22, 31-36	Ringgit/sen, card payment, receipts, sizes, and polite bargaining.
Places, Distance and Directions	A2	Location; Directions; place frames	13-14, 29, 39-41	Modern landmarks, navigation, maps, and natural Malaysian direction phrases.
Transport, Accommodation and Public Signs	A2	Travel-time questions; place lists; Important Signs	23-25, 39-47	Current transport, hotels, and modern public-sign wording.
Personal Needs and Everyday Services	B1	Fill-in Sentences: personal items and services	31-41	Current personal care, laundry, repair, pharmacy, and postal scenarios.
Health, Safety and Emergencies	B1	Additional Expressions; health/service frames	27-30, 36-45	Clinic, medicine, allergies, ambulance, and non-military safety language.
Reusable Sentence Frames	B1	Fill-in Sentences	31-45	Productive frames for wants, needs, availability, locations, and descriptions.
Extended Scenarios and Malay Then and Now	B2	Important Signs; Alphabetical Word List; examples throughout	46-79	Integrated role-plays plus explicit historical-to-modern spelling and register awareness.
